productUid,title,collectionHandle,catalogUid,attributesJson
wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_700x1000-mm-28x40-inch_170-gsm-65lb-coated-silk_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""700x1000-mm-28x40-inch"",""UnifiedPaperType"":""170-gsm-65lb-coated-silk"",""WallHangerColor"":""black"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_700x1000-mm-28x40-inch_170-gsm-65lb-uncoated_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""700x1000-mm-28x40-inch"",""UnifiedPaperType"":""170-gsm-65lb-uncoated"",""WallHangerColor"":""black"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_700x1000-mm-28x40-inch_200-gsm-80lb-coated-silk_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""700x1000-mm-28x40-inch"",""UnifiedPaperType"":""200-gsm-80lb-coated-silk"",""WallHangerColor"":""black"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_700x1000-mm-28x40-inch_200-gsm-80lb-uncoated_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""700x1000-mm-28x40-inch"",""UnifiedPaperType"":""200-gsm-80lb-uncoated"",""WallHangerColor"":""black"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_700x1000-mm-28x40-inch_250-gsm-100lb-uncoated-offwhite-archival_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""700x1000-mm-28x40-inch"",""UnifiedPaperType"":""250-gsm-100lb-uncoated-offwhite-archival"",""WallHangerColor"":""black"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_750x1000-mm-30x40-inch_170-gsm-65lb-coated-silk_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""750x1000-mm-30x40-inch"",""UnifiedPaperType"":""170-gsm-65lb-coated-silk"",""WallHangerColor"":""black"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_750x1000-mm-30x40-inch_170-gsm-65lb-uncoated_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""750x1000-mm-30x40-inch"",""UnifiedPaperType"":""170-gsm-65lb-uncoated"",""WallHangerColor"":""black"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_750x1000-mm-30x40-inch_200-gsm-80lb-coated-silk_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""750x1000-mm-30x40-inch"",""UnifiedPaperType"":""200-gsm-80lb-coated-silk"",""WallHangerColor"":""black"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_750x1000-mm-30x40-inch_200-gsm-80lb-uncoated_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""750x1000-mm-30x40-inch"",""UnifiedPaperType"":""200-gsm-80lb-uncoated"",""WallHangerColor"":""black"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_750x1000-mm-30x40-inch_250-gsm-100lb-uncoated-offwhite-archival_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""750x1000-mm-30x40-inch"",""UnifiedPaperType"":""250-gsm-100lb-uncoated-offwhite-archival"",""WallHangerColor"":""black"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_dark-wood_wood_w14xt20-mm_28x40-inch-700x1000-mm_170-gsm-65lb-coated-silk_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""28x40-inch-700x1000-mm"",""UnifiedPaperType"":""170-gsm-65lb-coated-silk"",""WallHangerColor"":""dark-wood"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_dark-wood_wood_w14xt20-mm_28x40-inch-700x1000-mm_170-gsm-65lb-uncoated_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""28x40-inch-700x1000-mm"",""UnifiedPaperType"":""170-gsm-65lb-uncoated"",""WallHangerColor"":""dark-wood"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_dark-wood_wood_w14xt20-mm_28x40-inch-700x1000-mm_200-gsm-80lb-coated-silk_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""28x40-inch-700x1000-mm"",""UnifiedPaperType"":""200-gsm-80lb-coated-silk"",""WallHangerColor"":""dark-wood"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_dark-wood_wood_w14xt20-mm_28x40-inch-700x1000-mm_200-gsm-80lb-uncoated_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""28x40-inch-700x1000-mm"",""UnifiedPaperType"":""200-gsm-80lb-uncoated"",""WallHangerColor"":""dark-wood"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_dark-wood_wood_w14xt20-mm_28x40-inch-700x1000-mm_250-gsm-100lb-uncoated-offwhite-archival_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""28x40-inch-700x1000-mm"",""UnifiedPaperType"":""250-gsm-100lb-uncoated-offwhite-archival"",""WallHangerColor"":""dark-wood"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_dark-wood_wood_w14xt20-mm_30x40-inch-750x1000-mm_170-gsm-65lb-coated-silk_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""30x40-inch-750x1000-mm"",""UnifiedPaperType"":""170-gsm-65lb-coated-silk"",""WallHangerColor"":""dark-wood"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_dark-wood_wood_w14xt20-mm_30x40-inch-750x1000-mm_170-gsm-65lb-uncoated_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""30x40-inch-750x1000-mm"",""UnifiedPaperType"":""170-gsm-65lb-uncoated"",""WallHangerColor"":""dark-wood"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_dark-wood_wood_w14xt20-mm_30x40-inch-750x1000-mm_200-gsm-80lb-coated-silk_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""30x40-inch-750x1000-mm"",""UnifiedPaperType"":""200-gsm-80lb-coated-silk"",""WallHangerColor"":""dark-wood"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_dark-wood_wood_w14xt20-mm_30x40-inch-750x1000-mm_200-gsm-80lb-uncoated_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""30x40-inch-750x1000-mm"",""UnifiedPaperType"":""200-gsm-80lb-uncoated"",""WallHangerColor"":""dark-wood"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
wall_hanging_poster_1010-mm_dark-wood_wood_w14xt20-mm_30x40-inch-750x1000-mm_250-gsm-100lb-uncoated-offwhite-archival_4-0_hor,Posters with hangers — hor,posters-with-hangers,poster-hangers,"{""CoatingType"":""none"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""ProtectionType"":""none"",""State"":""published"",""UnifiedPaperFormat"":""30x40-inch-750x1000-mm"",""UnifiedPaperType"":""250-gsm-100lb-uncoated-offwhite-archival"",""WallHangerColor"":""dark-wood"",""WallHangerMaterial"":""wood"",""WallHangerProperties"":""w14xt20-mm"",""WallHangerSize"":""1010-mm""}"
