productUid,title,collectionHandle,catalogUid,attributesJson
wood_12x36-inch-300x900-mm_lined-plywood_10-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""12x36-inch-300x900-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_12x36-inch-300x900-mm_lined-plywood_20-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""12x36-inch-300x900-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_12x36-inch-300x900-mm_lined-plywood_20-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""12x36-inch-300x900-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_16x16-inch-400x400-mm_lined-plywood_10-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""16x16-inch-400x400-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_16x16-inch-400x400-mm_lined-plywood_10-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""16x16-inch-400x400-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_16x16-inch-400x400-mm_lined-plywood_20-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""16x16-inch-400x400-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_16x16-inch-400x400-mm_lined-plywood_20-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""16x16-inch-400x400-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_16x20-inch-400x500-mm_lined-plywood_10-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""16x20-inch-400x500-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_16x20-inch-400x500-mm_lined-plywood_10-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""16x20-inch-400x500-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_16x20-inch-400x500-mm_lined-plywood_20-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""16x20-inch-400x500-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_16x20-inch-400x500-mm_lined-plywood_20-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""16x20-inch-400x500-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_16x24-inch-400x600-mm_lined-plywood_10-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""16x24-inch-400x600-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_16x24-inch-400x600-mm_lined-plywood_10-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""16x24-inch-400x600-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_16x24-inch-400x600-mm_lined-plywood_20-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""16x24-inch-400x600-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_16x24-inch-400x600-mm_lined-plywood_20-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""16x24-inch-400x600-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_18x24-inch-450x600-mm_lined-plywood_10-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""18x24-inch-450x600-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_18x24-inch-450x600-mm_lined-plywood_10-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""18x24-inch-450x600-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_18x24-inch-450x600-mm_lined-plywood_20-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""18x24-inch-450x600-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_18x24-inch-450x600-mm_lined-plywood_20-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""18x24-inch-450x600-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_200x200-mm-8x8-inch_lined-plywood_10-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""200x200-mm-8x8-inch"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_200x200-mm-8x8-inch_lined-plywood_10-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""200x200-mm-8x8-inch"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_200x200-mm-8x8-inch_lined-plywood_20-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""200x200-mm-8x8-inch"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_200x200-mm-8x8-inch_lined-plywood_20-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""200x200-mm-8x8-inch"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_200x300-mm-8x12-inch_lined-plywood_10-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""200x300-mm-8x12-inch"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_200x300-mm-8x12-inch_lined-plywood_10-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""200x300-mm-8x12-inch"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_200x300-mm-8x12-inch_lined-plywood_20-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""200x300-mm-8x12-inch"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_200x300-mm-8x12-inch_lined-plywood_20-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""200x300-mm-8x12-inch"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_200x600-mm-8x24-inch_lined-plywood_10-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""200x600-mm-8x24-inch"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
